cosmology_parameters_cosmology_name,detector_parameters_ccd_gain,detector_parameters_exposure_time,detector_parameters_magnitude_zero_point,detector_parameters_num_exposures,detector_parameters_pixel_scale,detector_parameters_read_noise,detector_parameters_sky_brightness,los_parameters_alpha_dz_factor,los_parameters_c_0,los_parameters_conc_beta,los_parameters_conc_m_ref,los_parameters_conc_zeta,los_parameters_cone_angle,los_parameters_delta_los,los_parameters_dex_scatter,los_parameters_dz,los_parameters_m_max,los_parameters_m_min,los_parameters_r_max,los_parameters_r_min,los_parameters_z_min,main_deflector_parameters_M200,main_deflector_parameters_center_x,main_deflector_parameters_center_y,main_deflector_parameters_dec_0,main_deflector_parameters_e1,main_deflector_parameters_e2,main_deflector_parameters_gamma,main_deflector_parameters_gamma1,main_deflector_parameters_gamma2,main_deflector_parameters_ra_0,main_deflector_parameters_theta_E,main_deflector_parameters_z_lens,psf_parameters_fwhm,psf_parameters_psf_type,source_parameters_R_sersic,source_parameters_center_x,source_parameters_center_y,source_parameters_e1,source_parameters_e2,source_parameters_magnitude,source_parameters_n_sersic,source_parameters_output_ab_zeropoint,source_parameters_z_source,subhalo_parameters_c_0,subhalo_parameters_conc_beta,subhalo_parameters_conc_m_ref,subhalo_parameters_conc_zeta,subhalo_parameters_dex_scatter,subhalo_parameters_k1,subhalo_parameters_k2,subhalo_parameters_m_max,subhalo_parameters_m_min,subhalo_parameters_m_pivot,subhalo_parameters_shmf_plaw_index,subhalo_parameters_sigma_sub
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,16.01176184059236,0.719463062377214,100000000.0,-0.20509378845415704,8.0,2.6715283441363735,0.1362385759024279,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,0.1868137688988622,-0.009355318567147998,0.0,-0.21164052581013273,0.055445780373494284,2.0533356791102735,0.054696699525141515,0.031023810576818963,0.0,1.2728647286224342,0.5,0.03,GAUSSIAN,0.3304778458022231,-0.0334356242703906,0.032374439059148226,-0.03332925488965702,-0.08760648175461344,21.89535393837217,3.6659553378930623,25.127,2.3062118617163607,17.96794841666382,0.7212564446668995,100000000.0,-0.2048105842903467,0.10215454528023396,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.9039106220011153,0.002871099588930598
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,17.627021408414915,0.839596476608043,100000000.0,-0.28078892130341765,8.0,0.7893738017804166,0.13342548794396022,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,-0.08943912351600393,-0.12256455088614343,0.0,-0.20738571032107891,-0.10774642305239418,1.9328800803554673,0.009354330223782206,0.02186154199958101,0.0,1.0568698911041197,0.5,0.03,GAUSSIAN,0.32935276849397216,-0.2682857875288762,0.056951588552437635,-0.023736088454615473,0.009602966333309246,23.323881731911978,2.263688423039743,25.127,2.061673405286484,16.769002869328883,0.8001616083970824,100000000.0,-0.2547691660105253,0.12260386465926056,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.8850532505431585,0.004609866041647469
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,17.946586340828333,0.8243496320058579,100000000.0,-0.2083378644755981,8.0,0.8575363638571186,0.10701172451370498,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,0.07806677051881716,0.22077664321651178,0.0,0.05468015869282983,-0.040673619359363665,2.046591017310286,-0.04073631984164114,-0.02977000273794117,0.0,1.0517952585536774,0.5,0.03,GAUSSIAN,0.36948566525681553,-0.20054457443589296,0.26302097638913857,0.0561523567682104,-0.05554453476612134,21.853213023658846,2.268235179934325,25.127,2.3132443665690294,17.5075695582339,0.6495209543260998,100000000.0,-0.2327082947478587,0.12177945864408513,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.8668464230039432,0.003380801595562184
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,17.704932491247312,0.6808477458055474,100000000.0,-0.28800001284680904,8.0,0.5320101321421378,0.14739499282474045,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,-0.21925235675377724,0.29789253592465975,0.0,-0.03432208728781618,0.010416066656616641,2.0944262468285295,-0.032983380650607345,-0.0274425356082729,0.0,1.0216064534337521,0.5,0.03,GAUSSIAN,0.40628064748898324,0.0846790548328658,-0.11305015175946974,-0.009667197112803248,0.08113127601471719,21.295818794563846,3.7696453273113137,25.127,1.357820169523556,17.66199851816679,0.6366905075294306,100000000.0,-0.24198173832203285,0.15222692343435545,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.8875137130205155,0.002904225680144897
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,16.13277670310898,0.7629770513356482,100000000.0,-0.22534928132772752,8.0,1.1153700185549087,0.11388985502905519,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,0.05629380792279375,-0.15381088285535055,0.0,-0.041548486661505846,0.09568927336500609,2.085106480049974,0.01749608413850372,0.02239514442937614,0.0,1.1799727466243106,0.5,0.03,GAUSSIAN,0.27435357553433837,-0.01803033155185283,-0.04695256612276365,0.011717864889280092,0.04131423462770523,22.20899192389375,2.3867628195377995,25.127,1.834367509869379,16.44149970403888,0.5505022895102869,100000000.0,-0.20221713955840076,0.14782337065170426,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.8605371291221642,0.004157191072591192
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,17.503967957409685,0.6884145000695125,100000000.0,-0.21603626452124458,8.0,0.8429423894492283,0.1423919534663404,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,0.055154208166244195,0.1707049853878116,0.0,0.12020505693255434,0.0744315456933795,1.8593399878832204,-0.048951486703517164,0.028559977468036363,0.0,1.1102377730881257,0.5,0.03,GAUSSIAN,0.28869851618508247,0.24458203103602658,-0.047173102429072564,-0.11616895790817056,0.11085202575285032,22.606460747984208,2.6724124314691897,25.127,1.7039938961145524,17.255080977086216,0.8246511680976084,100000000.0,-0.26126246252691704,0.13538069944627404,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.9043242043647817,0.00248708608672197
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,16.578465629173245,0.5933435291142567,100000000.0,-0.29299870507885745,8.0,0.9089310718775535,0.11261990292802185,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,0.15831503748712247,0.0017741001384858097,0.0,-0.14575697539843996,-0.01174149192643236,1.6806733933199172,-0.030012780442513872,-0.0976006879991305,0.0,1.2071593455195941,0.5,0.03,GAUSSIAN,0.3779285330960947,-0.24546087647317413,0.13807986540247705,-0.05548865794823043,0.037479269358744585,21.786197310705983,3.436741633177004,25.127,2.2502606167151296,17.135579403280534,0.7750724842765114,100000000.0,-0.2914927005096708,0.13947889682387615,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.8664114106930856,0.00197442910324168
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,17.975083419747943,0.5573462720342629,100000000.0,-0.28829689560843214,8.0,0.9375974597036926,0.1323268782619636,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,0.013444037265347509,0.17805091923524582,0.0,-0.14434345667185397,0.02228163379633634,2.0726556608196383,0.025026010388654693,-0.06179591473696401,0.0,1.0672499496374561,0.5,0.03,GAUSSIAN,0.4005044417225661,-0.21687676529215805,0.1850358706132453,0.13621498831527648,-0.23072064284046517,21.327456770511976,3.2595974366905818,25.127,1.7658899140754318,16.07880836557303,0.7493446032401944,100000000.0,-0.21884533308067483,0.15720517661298775,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.8356904471869093,0.003566029186102571
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,16.256200853819145,0.5897993194331712,100000000.0,-0.24504306053559324,8.0,2.57300902818623,0.12277710392021869,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,-0.07980779185536535,-0.05369504949156683,0.0,0.19067926913148822,-0.057324408464469595,2.0210352836489807,0.10977863375444297,0.020141439314162343,0.0,1.2573384748625502,0.5,0.03,GAUSSIAN,0.2868274033698661,0.33450245702675574,-0.16548875851979805,-0.09412820807779294,0.05813003275059601,23.45450970900741,3.608259936570174,25.127,1.9047502359795132,17.99713948440999,0.669592385994619,100000000.0,-0.28549228386933123,0.14247758798835072,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.881658048212277,0.0005417234893856395
planck18,1.58,1380.0,25.127,4.0,0.04,3.0,21.83,5.0,17.91443681774174,0.5977603833692626,100000000.0,-0.24217379287144758,8.0,-0.12687634251897695,0.11679575127733803,0.01,10000000000.0,10000000.0,10.0,0.5,0.01,10000000000000.0,-0.01301541090658821,-0.1277302613964032,0.0,0.2071969079995536,0.07157532194418441,2.025472388018657,0.025647494196192663,0.06835338163001099,0.0,0.9311610254132193,0.5,0.03,GAUSSIAN,0.32520311784271855,0.3529633259013683,-0.1041962758588486,0.04860060502298838,0.19549141797766798,22.039170756164083,2.4812161963172086,25.127,1.7441613754928067,16.68708203397845,0.6502023502760104,100000000.0,-0.23652413747157652,0.12782965050962736,0.0,0.0,10000000000.0,10000000.0,10000000000.0,-1.8687501886633031,0.0033406687438203493
